Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3300000,1.0397005,0.55637664,0.01800139,0.017316388,0.0003000001,2475.5,20.523503184318542,20.523503184318542,1.0
3310000,1.0249994,0.46745738,None,None,None,None,None,None,1.0
3320000,1.101123,0.45491093,0.014103974,0.019237874,0.00030000004,3109.0,None,None,1.0
3330000,1.0714821,0.4508948,None,None,None,3617.5,20.34833679596583,20.34833679596583,1.0
3340000,1.1097996,0.4150343,None,None,None,None,None,None,1.0
3350000,1.1288217,0.40802476,0.011065956,0.021142527,0.0003000001,4167.5,20.387003699938457,20.387003699938457,1.0
3360000,1.030015,0.3676438,None,None,None,4574.0,20.025003564357757,20.025003564357757,1.0
3370000,1.0616392,0.29798442,0.011911889,0.016439851,0.0003,5101.0,None,None,1.0
3380000,1.0000763,0.5014519,None,None,None,5428.333333333333,19.381670931975048,19.381670931975048,1.0
3390000,0.9743545,0.3990092,None,None,None,5967.0,20.248503878712654,20.248503878712654,1.0
3400000,0.9630999,0.3663073,0.014435779,0.01694253,0.0003,3033.0,21.466003954410553,21.466003954410553,1.0
3410000,0.9220505,0.43256205,None,None,None,6367.5,19.88150319457054,19.88150319457054,1.0
3420000,1.020374,0.35278067,0.0145993335,0.018516056,0.00030000007,4399.0,20.10000467300415,20.10000467300415,1.0
3430000,1.0793489,0.45899987,None,None,None,None,None,None,1.0
3440000,1.0622176,0.43028,0.020682903,0.017591828,0.00030000004,4496.5,20.4625031799078,20.4625031799078,1.0
3450000,0.9295304,0.31521353,None,None,None,8017.0,17.882336695988972,17.882336695988972,1.0
3460000,0.97466093,0.4182829,None,None,None,2732.0,15.767002582550049,15.767002582550049,1.0
3470000,0.9624566,0.4905955,0.010979867,0.019835878,0.00030000004,3749.0,20.750004053115845,20.750004053115845,1.0
3480000,1.0298896,0.32055122,None,None,None,None,None,None,1.0
3490000,1.0233003,0.29799634,0.012746777,0.017002238,0.00030000004,3732.0,19.767004013061523,19.767004013061523,1.0
3500000,1.0320687,0.38376394,None,None,None,7257.5,17.789803260564803,17.789803260564803,1.0
3510000,0.950154,0.31249043,0.013373928,0.015623749,0.00030000004,4216.0,17.141503542661667,17.141503542661667,1.0
3520000,1.0171056,0.35854337,None,None,None,3265.0,19.234004080295563,19.234004080295563,1.0
3530000,1.0481074,0.48596898,0.013481855,0.012335324,0.00030000004,4082.0,19.417004346847534,19.417004346847534,1.0
3540000,1.0655581,0.30420434,None,None,None,5576.666666666667,18.255670309066772,18.255670309066772,1.0
3550000,1.0726497,0.29910555,0.011457499,0.01588818,0.00030000004,3311.75,20.312253788113594,20.312253788113594,1.0
3560000,1.0123796,0.3333514,None,None,None,3910.3333333333335,20.422004063924152,20.422004063924152,1.0
3570000,0.97611517,0.45919457,0.0149499485,0.017072123,0.00030000004,None,None,None,1.0
3580000,1.0235614,0.31355438,None,None,None,6957.5,18.04150377213955,18.04150377213955,1.0
3590000,0.9818547,0.4362123,0.014401486,0.018421063,0.00030000004,6582.5,17.416503459215164,17.416503459215164,1.0
3600000,0.9939522,0.343779,None,None,None,None,None,None,1.0
3610000,1.0595713,0.40954936,0.014866098,0.0171889,0.00030000004,6941.5,20.615004062652588,20.615004062652588,1.0
3620000,1.0782223,0.3810133,None,None,None,2799.0,17.100003607571125,17.100003607571125,1.0
3630000,1.0665951,0.29471213,None,None,None,5760.0,18.239003092050552,18.239003092050552,1.0
3640000,1.0501844,0.32040438,0.013742801,0.015059976,0.00030000004,3382.5,19.616503655910492,19.616503655910492,1.0
3650000,1.0766848,0.31992957,None,None,None,3765.75,20.48325376212597,20.48325376212597,1.0
3660000,1.0675403,0.39236253,0.012906775,0.016077932,0.00030000004,5549.0,21.95000422000885,21.95000422000885,1.0
3670000,1.0460403,0.3545861,None,None,None,7449.0,19.075003027915955,19.075003027915955,1.0
3680000,1.0108044,0.41591468,0.013907929,0.016476179,0.00030000004,6699.0,17.033337026834488,17.033337026834488,1.0
